Nom de la commune,INSEE_CODE,TOWN_TYPE,Dep
L' Abergement-Clémenciat,01001,Commune simple,01
L' Abergement-de-Varey,01002,Commune simple,01
Ambérieu-en-Bugey,01004,Chef-lieu canton,01
Ambérieux-en-Dombes,01005,Commune simple,01
Ambléon,01006,Commune simple,01
Ambronay,01007,Commune simple,01
Ambutrix,01008,Commune simple,01
Andert-et-Condon,01009,Commune simple,01
Anglefort,01010,Commune simple,01
Apremont,01011,Commune simple,01
Aranc,01012,Commune simple,01
Arandas,01013,Commune simple,01
Arbent,01014,Commune simple,01
Arbigny,01016,Commune simple,01
Arboys en Bugey,01015,Commune simple,01
Argis,01017,Commune simple,01
Armix,01019,Commune simple,01
Ars-sur-Formans,01021,Commune simple,01
Artemare,01022,Commune simple,01
Asnières-sur-Saône,01023,Commune simple,01
Attignat,01024,Commune simple,01
Bâgé-la-Ville,01025,Commune simple,01
Bâgé-le-Châtel,01026,Chef-lieu canton,01
Balan,01027,Commune simple,01
Baneins,01028,Commune simple,01
Béard-Géovreissiat,01170,Commune simple,01
Beaupont,01029,Commune simple,01
Beauregard,01030,Commune simple,01
Béligneux,01032,Commune simple,01
Bellegarde-sur-Valserine,01033,Chef-lieu canton,01
Belley,01034,Sous-préfecture,01
Belleydoux,01035,Commune simple,01
Bellignat,01031,Commune simple,01
Belmont-Luthézieu,01036,Commune simple,01
Bénonces,01037,Commune simple,01
Bény,01038,Commune simple,01
Béon,01039,Commune simple,01
Béréziat,01040,Commune simple,01
Bettant,01041,Commune simple,01
Bey,01042,Commune simple,01
Beynost,01043,Commune simple,01
Billiat,01044,Commune simple,01
Birieux,01045,Commune simple,01
Biziat,01046,Commune simple,01
Blyes,01047,Commune simple,01
Bohas-Meyriat-Rignat,01245,Commune simple,01
La Boisse,01049,Commune simple,01
Boissey,01050,Commune simple,01
Bolozon,01051,Commune simple,01
Bouligneux,01052,Commune simple,01
Bourg-en-Bresse,01053,Préfecture,01
Bourg-Saint-Christophe,01054,Commune simple,01
Boyeux-Saint-Jérôme,01056,Commune simple,01
Boz,01057,Commune simple,01
Brégnier-Cordon,01058,Commune simple,01
Brénaz,01059,Commune simple,01
Brénod,01060,Chef-lieu canton,01
Brens,01061,Commune simple,01
Bressolles,01062,Commune simple,01
Brion,01063,Commune simple,01
Briord,01064,Commune simple,01
Buellas,01065,Commune simple,01
La Burbanche,01066,Commune simple,01
Ceignes,01067,Commune simple,01
Cerdon,01068,Commune simple,01
Certines,01069,Commune simple,01
Cessy,01071,Commune simple,01
Ceyzériat,01072,Chef-lieu canton,01
Ceyzérieu,01073,Commune simple,01
Chalamont,01074,Chef-lieu canton,01
Chaleins,01075,Commune simple,01
Chaley,01076,Commune simple,01
Challes-la-Montagne,01077,Commune simple,01
Challex,01078,Commune simple,01
Champagne-en-Valromey,01079,Chef-lieu canton,01
Champdor-Corcelles,01080,Commune simple,01
Champfromier,01081,Commune simple,01
Chanay,01082,Commune simple,01
Chaneins,01083,Commune simple,01
Chanoz-Châtenay,01084,Commune simple,01
La Chapelle-du-Châtelard,01085,Commune simple,01
Charix,01087,Commune simple,01
Charnoz-sur-Ain,01088,Commune simple,01
Château-Gaillard,01089,Commune simple,01
Châtenay,01090,Commune simple,01
Châtillon-en-Michaille,01091,Commune simple,01
Châtillon-la-Palud,01092,Commune simple,01
Châtillon-sur-Chalaronne,01093,Chef-lieu canton,01
Chavannes-sur-Reyssouze,01094,Commune simple,01
Chavannes-sur-Suran,01095,Commune simple,01
Chaveyriat,01096,Commune simple,01
Chavornay,01097,Commune simple,01
Chazey-Bons,01098,Commune simple,01
Chazey-sur-Ain,01099,Commune simple,01
Cheignieu-la-Balme,01100,Commune simple,01
Chevillard,01101,Commune simple,01
Chevroux,01102,Commune simple,01
Chevry,01103,Commune simple,01
Chézery-Forens,01104,Commune simple,01
Civrieux,01105,Commune simple,01
Cize,01106,Commune simple,01
Cleyzieu,01107,Commune simple,01
Coligny,01108,Chef-lieu canton,01
Collonges,01109,Chef-lieu canton,01
Colomieu,01110,Commune simple,01
Conand,01111,Commune simple,01
Condamine,01112,Commune simple,01
Condeissiat,01113,Commune simple,01
Confort,01114,Commune simple,01
Confrançon,01115,Commune simple,01
Contrevoz,01116,Commune simple,01
Conzieu,01117,Commune simple,01
Corbonod,01118,Commune simple,01
Corlier,01121,Commune simple,01
Cormaranche-en-Bugey,01122,Commune simple,01
Cormoranche-sur-Saône,01123,Commune simple,01
Cormoz,01124,Commune simple,01
Corveissiat,01125,Commune simple,01
Courmangoux,01127,Commune simple,01
Courtes,01128,Commune simple,01
Crans,01129,Commune simple,01
Cras-sur-Reyssouze,01130,Commune simple,01
Cressin-Rochefort,01133,Commune simple,01
Crottet,01134,Commune simple,01
Crozet,01135,Commune simple,01
Cruzilles-lès-Mépillat,01136,Commune simple,01
Culoz,01138,Commune simple,01
Curciat-Dongalon,01139,Commune simple,01
Curtafond,01140,Commune simple,01
Cuzieu,01141,Commune simple,01
Dagneux,01142,Commune simple,01
Divonne-les-Bains,01143,Commune simple,01
Dommartin,01144,Commune simple,01
Dompierre-sur-Chalaronne,01146,Commune simple,01
Dompierre-sur-Veyle,01145,Commune simple,01
Domsure,01147,Commune simple,01
Dortan,01148,Commune simple,01
Douvres,01149,Commune simple,01
Drom,01150,Commune simple,01
Druillat,01151,Commune simple,01
Échallon,01152,Commune simple,01
Échenevex,01153,Commune simple,01
Étrez,01154,Commune simple,01
Évosges,01155,Commune simple,01
Faramans,01156,Commune simple,01
Fareins,01157,Commune simple,01
Farges,01158,Commune simple,01
Feillens,01159,Commune simple,01
Ferney-Voltaire,01160,Chef-lieu canton,01
Flaxieu,01162,Commune simple,01
Foissiat,01163,Commune simple,01
Francheleins,01165,Commune simple,01
Frans,01166,Commune simple,01
Garnerans,01167,Commune simple,01
Genouilleux,01169,Commune simple,01
Géovreisset,01171,Commune simple,01
Germagnat,01172,Commune simple,01
Gex,01173,Sous-préfecture,01
Giron,01174,Commune simple,01
Gorrevod,01175,Commune simple,01
Grand-Corent,01177,Commune simple,01
Grièges,01179,Commune simple,01
Grilly,01180,Commune simple,01
Groissiat,01181,Commune simple,01
Groslée-Saint-Benoit,01338,Commune simple,01
Guéreins,01183,Commune simple,01
Haut Valromey,01187,Commune simple,01
Hautecourt-Romanèche,01184,Commune simple,01
Hauteville-Lompnes,01185,Chef-lieu canton,01
Hostiaz,01186,Commune simple,01
Illiat,01188,Commune simple,01
Injoux-Génissiat,01189,Commune simple,01
Innimond,01190,Commune simple,01
Izenave,01191,Commune simple,01
Izernore,01192,Chef-lieu canton,01
Izieu,01193,Commune simple,01
Jassans-Riottier,01194,Commune simple,01
Jasseron,01195,Commune simple,01
Jayat,01196,Commune simple,01
Journans,01197,Commune simple,01
Joyeux,01198,Commune simple,01
Jujurieux,01199,Commune simple,01
Labalme,01200,Commune simple,01
Lagnieu,01202,Chef-lieu canton,01
Laiz,01203,Commune simple,01
Lancrans,01205,Commune simple,01
Lantenay,01206,Commune simple,01
Lapeyrouse,01207,Commune simple,01
