INSEE_CODE,inhabitants
01001,785
01002,241
01004,14557
01005,1658
01006,115
01007,2678
01008,764
01009,347
01010,1160
01011,405
01012,332
01013,162
01014,3533
01016,446
01015,650
01017,439
01019,23
01021,1400
01022,1214
01023,69
01024,3435
01025,3257
01026,935
01027,3082
01028,594
01170,1043
01029,683
01030,910
01032,3384
01033,12052
01034,9354
01035,330
01031,3862
01036,559
01037,286
01038,749
01039,481
01040,483
01041,762
01042,279
01043,4655
01044,605
01045,295
01046,833
01047,998
01245,911
01049,2988
01050,330
01051,92
01052,303
01053,42937
01054,1322
01056,383
01057,522
01058,884
01059,97
01060,563
01061,1214
01062,857
01063,521
01064,987
01065,1804
01066,71
01067,274
01068,776
01069,1512
01071,4960
01072,3153
01073,1043
01074,2442
01075,1266
01076,154
01077,187
01078,1393
01079,847
01080,688
01081,745
01082,656
01083,878
01084,796
01085,385
01087,289
01088,959
01089,2057
01090,340
01091,3379
01092,1644
01093,5164
01094,760
01095,655
01096,1019
01097,227
01098,868
01099,1564
01100,145
01101,167
01102,971
01103,1511
01104,472
01105,1563
01106,180
01107,142
01108,1220
01109,2210
01110,131
01111,120
01112,454
01113,840
01114,582
01115,1355
01116,523
01117,155
01118,1266
01121,115
01122,867
01123,1118
01124,677
01125,629
01127,516
01128,293
01129,270
01130,1439
01133,395
01134,1764
01135,2167
01136,854
01138,3087
01139,457
01140,779
01141,428
01142,4502
01143,9366
01144,900
01146,426
01145,1197
01147,485
01148,1902
01149,1060
01150,229
01151,1173
01152,784
01153,2252
01154,840
01155,147
01156,792
01157,2231
01158,987
01159,3336
01160,9551
01162,65
01163,2065
01165,1545
01166,2250
01167,682
01169,594
01171,955
01172,154
01173,11453
01174,180
01175,863
01177,184
01179,1959
01180,805
01181,1218
01338,1213
01183,1451
01187,733
01184,816
01185,3952
01186,88
01188,621
01189,1178
01190,119
01191,178
01192,2357
01193,233
01194,6345
01195,1760
01196,1139
01197,369
01198,280
01199,2231
01200,212
01202,7104
01203,1223
01205,1067
01206,268
01207,347
01208,143
01209,701
01210,240
01211,1451
01212,722
01213,1264
01214,157
01215,50
01216,904
01218,101
01219,168
01221,116
01224,3187
01225,405
01227,469
01228,662
01229,1170
01230,317
01231,2030
01232,2248
01233,133
01234,179
01235,1116
01236,1003
01237,1637
01238,2542
01239,650
01240,669
01241,1330
01242,129
01243,1257
01244,7692
01246,2175
01247,361
01248,2174
01249,9536
01250,2110
01252,808
01254,1968
01255,597
01257,351
01258,1248
01259,678
01260,281
01261,682
01262,7140
01263,3877
01264,1033
01265,3481
01266,2498
01268,258
01269,3696
01272,1511
01273,1680
01274,651
01275,2508
01276,1570
01277,121
01267,1051
01279,97
01280,159
01281,4422
01282,267
01283,23085
01284,674
01285,1197
01286,959
01288,2537
01289,6493
01290,1233
01291,811
01293,183
01294,853
01295,653
01296,402
01297,759
01298,126
01299,542
01204,716
01301,2554
01302,164
01303,1720
01304,2844
01305,2343
01306,1689
01307,875
01308,830
01309,93
01310,234
01311,46
01313,7896
01314,1694
01316,161
01317,310
01318,719
01319,472
01320,3732
01321,947
01322,4626
01323,984
01325,986
01328,607
01329,151
01330,191
01331,175
01334,568
01332,749
01333,3073
01335,369
01336,1155
01337,1264
01339,1458
01341,161
01343,1775
01345,2282
01344,5695
01346,903
01347,1919
01348,2873
01349,456
01350,2633
01351,1571
01352,575
01354,10053
01355,485
01356,224
01357,494
01358,421
01359,236
01360,1643
01361,1463
01362,797
01363,1765
01364,750
01365,1105
01367,736
01368,770
01369,938
01370,1799
01371,1371
01372,436
01373,1128
01374,1800
01375,829
01376,4029
01378,2499
01379,754
01380,699
01381,931
01383,1480
01384,2318
01385,1008
01386,1164
01387,219
01388,1119
01389,1873
01390,1141
01342,555
01353,1667
01366,975
01382,292
01391,299
01392,699
01393,519
01396,1025
01397,1085
01398,1282
01399,1992
01400,143
01401,2062
01402,725
01403,1304
01404,127
01405,1235
01406,176
01407,1000
01408,715
01410,334
01411,271
01412,579
01413,75
01414,215
01415,450
01416,1064
01417,309
01418,1070
01419,6237
01420,1685
01421,749
01422,1408
01423,848
01424,1709
01425,298
01427,6911
01426,2606
01428,137
01429,688
01430,543
01431,1248
01432,267
01433,323
01434,404
01435,2225
01436,527
01437,249
01439,101
01442,380
01441,695
01443,4534
01444,1171
01445,676
01446,1447
01447,1351
01448,370
01449,715
01450,3496
01451,6438
01452,1090
01453,316
01454,1083
01456,78
01457,2981
02001,518
02002,620
02003,1033
02004,194
02005,414
02006,263
02007,122
02008,303
02009,538
02010,183
02011,1204
02012,74
02013,421
02014,755
02015,79
02016,223
02017,315
02018,1975
02019,385
02020,464
02021,88
02022,421
02023,107
02024,55
02025,370
02027,239
02028,2660
02029,386
02030,300
02031,674
02032,242
02033,110
02034,105
02035,285
02036,89
02037,1454
02038,69
02039,172
02040,181
02041,843
02042,403
02043,72
02044,27
02046,563
02047,132
02048,124
02049,750
02050,320
02051,397
02052,149
02054,472
02055,101
02056,170
02057,1470
02058,816
02059,2749
02060,287
02061,287
02062,142
02063,393
02064,3873
02065,637
02066,213
02067,220
02068,111
02069,120
02070,456
02071,658
02072,190
02073,618
02074,635
02075,209
02076,175
02077,407
02078,156
02079,166
02080,371
02081,512
02082,110
02083,737
02084,270
02085,1042
02086,1087
02087,31
02088,73
02089,1166
02090,225
02091,110
02093,1280
02094,431
02095,5796
02096,200
02097,262
02098,386
02099,251
02100,137
02101,206
02102,205
02103,1305
02104,104
02105,207
02106,853
02107,101
02108,154
02109,509
02110,2306
02111,722
02112,614
02114,1442
02117,71
02118,122
02115,229
02116,136
02119,352
02120,201
02121,266
02122,57
02123,298
02124,670
02125,219
02126,526
02128,1582
02127,193
02129,22
02130,191
02131,1973
02132,218
02133,426
02134,897
02135,1202
02136,136
02137,133
02138,196
02139,441
02140,463
02141,1940
02142,248
02143,204
02144,142
02145,585
02146,85
02148,268
02149,65
02150,69
02151,119
02152,93
02153,471
02154,362
02155,186
02156,251
02157,812
02158,293
02159,289
02160,540
02162,291
02163,2729
02164,329
02165,1657
02166,360
02167,887
02168,14938
02169,91
02170,130
02171,88
02172,257
02173,12357
02174,829
02175,141
02176,209
02177,145
02178,112
02179,380
02180,705
02181,98
02182,146
02183,206
02184,371
02185,413
02186,1366
02187,1082
02188,152
02189,386
02190,583
02191,507
02192,391
02193,72
02194,222
02195,921
02196,331
02197,639
02198,227
02199,646
02200,124
02203,1366
02204,71
02205,220
02206,85
02207,211
02208,283
02209,671
02210,382
02211,240
02212,736
02213,325
02214,64
02215,744
02216,323
02219,286
02217,1090
02218,631
02220,448
02221,177
02222,31
02223,311
02224,369
02225,97
02226,1817
02227,136
02228,320
02229,66
02230,197
02231,921
02232,385
02233,134
02234,79
02235,116
02236,343
02237,1527
02238,1977
02239,1325
02240,243
02241,115
02242,647
02243,2909
02244,77
02245,1834
02246,591
02248,164
02249,113
02250,73
02251,29
02252,65
02253,352
02254,127
02255,148
02201,464
02256,135
02257,435
02258,412
02259,419
02260,596
02261,394
02262,225
02263,114
02458,851
02264,778
02265,102
02266,52
02267,300
02268,678
02269,155
02270,161
02271,150
02272,73
02273,214
02274,214
02275,341
02276,141
02277,339
02278,45
02279,592
02280,391
02281,269
02282,430
02283,300
02284,87
02286,856
02287,1101
02288,365
02289,452
02290,2848
