"household_type","job_dep","work_condition","DEGREE","Employer_category","JOB_CATEGORY","Job_description","type_of_contract","working_hours","employee_count","INSEE_CODE","Age_2019","activity_sector","Sex","Wage"
"M_3_1","92","C","educ|1","ct_9","X","564b","AUT",1531,"tr_2","75118",21,"JC","Female",4804
"M_4_1","59","C","educ|2","ct_7","O","563c","CDI",868,"tr_1","59008",53,"TZ","Female",10536
"M_4_1","93","D","educ|2","ct_7","O","563a","CDI",1398,"tr_1","93063",52,"QB","Female",7119
"M_4_1","62","P","educ|3","ct_8","O","563c","CDI",1033,"tr_6","62752",55,"QB","Female",9196
"M_4_1","75","C","educ|3","ct_8","O","373c","CDI",1799,"tr_3","75112",53,"SZ","Male",47181
"M_3_2","94","C","educ|3","ct_9","O","562a","CDI",1820,"tr_1","75116",41,"GZ","Female",12339
"M_4_1","33","C","educ|1|2","ct_6","A","683a","CDD",1808,"tr_2","33281",17,"CA","Male",7083
"M_4_1","62","C","educ|1|2","ct_9","O","561d","CDI",1861,"tr_5","62178",55,"CH","Female",17329
"M_1_2","13","P","educ|1|3","ct_8","O","563b","CDI",818,"tr_4","13047",49,"QB","Female",4061
"M_4_1","13","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","13201",49,"QB","Female",40667
"M_4_1","25","C","educ|1|3","ct_8","O","563b","CDI",1835,"tr_3","25056",48,"QB","Female",15799
"M_1_2","90","C","educ|1|3","ct_9","O","561d","CDI",1943,"tr_3","25056",48,"IZ","Female",20563
"M_4_1","30","P","educ|1|3","ct_6","O","563a","CDI",1128,"tr_3","30189",53,"SZ","Female",10281
"M_4_1","30","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","30189",32,"QB","Female",21471
"M_1_2","07","P","educ|1|3","ct_6","O","562b","CDI",1080,"tr_1","38517",56,"SZ","Female",9929
"M_4_1","44","C","educ|1|3","ct_6","O","562b","CDI",1616,"tr_1","44124",47,"SZ","Female",11962
"M_1_2","59","P","educ|1|3","ct_6","O","561d","CDI",208,"tr_3","59392",27,"IZ","Female",2253
"M_4_1","59","D","educ|1|3","ct_7","O","563a","CDI",2323,"tr_0","59408",28,"QB","Female",6832
"M_3_2","77","P","educ|1|3","ct_9","O","563b","CDI",877,"tr_3","91228",45,"QB","Female",7507
"M_4_1","93","C","educ|1|3","ct_7","O","563c","CDI",430,"tr_1","93029",52,"TZ","Female",5841
"M_4_3","75","P","educ|1|3","ct_9","O","561b","CDI",1083,"tr_1","93079",52,"IZ","Female",9362
"M_4_1","75","C","educ|1|3","ct_9","O","464a","TTP",427,"tr_1","94034",59,"NZ","Female",16724
"M_4_1","27","D","educ|1|4","ct_7","O","563a","CDI",409,"tr_1","27428",32,"QB","Female",4285
"M_4_1","59","C","educ|1|4","ct_8","O","431f","CDD",783,"tr_1","59343",22,"QA","Female",9218
"M_1_2","69","C","educ|1|4","ct_9","O","461d","CDI",1484,"tr_4","69034",33,"NZ","Female",15815
"M_3_2","92","P","educ|1|4","ct_8","O","564a","CDI",2161,"tr_1","92007",40,"NZ","Female",22425
"M_1_2","59","C","educ|1|5","ct_7","O","563c","CDI",980,"tr_1","59558",27,"TZ","Female",10525
"M_4_1","69","C","educ|1|6","ct_9","O","461b","CDI",1841,"tr_5","69088",33,"GZ","Female",21118
"M_4_3","92","P","educ|1|6","ct_6","O","563c","CDI",1360,"tr_3","92014",45,"QB","Female",8642
"M_4_1","01","C","educ|1|7","ct_9","O","462e","CDI",2020,"tr_3","01169",27,"IZ","Female",25981
"M_4_1","44","C","educ|1|7","ct_9","O","561e","CDI",1827,"tr_2","44109",30,"IZ","Female",14124
"M_4_1","59","D","educ|1|7","ct_9","O","463e","TOA",NA,"tr_6","68118",41,"GZ","Female",66
"M_4_3","75","C","educ|1|7","ct_9","X","543g","AUT",1695,"tr_6","75112",24,"KZ","Female",16047
"M_4_1","91","C","educ|1|7","ct_9","O","372a","CDI",2200,"tr_6","92046",49,"CI","Male",68357
"M_4_1","33","P","educ|1|8","ct_9","O","372d","CDI",1001,"tr_6","33012",54,"JA","Female",23140
"M_3_2","75","C","educ|1|8","ct_5","O","376d","CDI",2200,"tr_6","75102",35,"KZ","Female",52723
"M_1_2","75","C","educ|1|8","ct_9","X","545a","AUT",610,"tr_2","75103",23,"JC","Female",4826
"M_1_2","93","C","educ|1|8","ct_6","X","543g","AUT",904,"tr_2","75104",23,"MC","Female",1983
"M_4_1","92","P","educ|1|8","ct_9","O","376a","CDI",1443,"tr_6","75111",36,"KZ","Female",21021
"M_4_1","92","C","educ|1|8","ct_9","O","375b","CDI",1820,"tr_4","75112",32,"MC","Male",22920
"M_1_1","93","C","educ|1|8","ct_9","O","467a","CDI",1521,"tr_6","75112",41,"KZ","Male",26117
"M_4_1","75","C","educ|1|8","ct_4","O","372b","CDI",1698,"tr_5","75112",35,"SZ","Female",30836
"M_4_1","75","P","educ|1|8","ct_9","O","372b","CDI",1482,"tr_4","75112",42,"MA","Female",53568
"M_4_1","92","P","educ|1|8","ct_9","O","372b","CDI",1061,"tr_6","75113",42,"MA","Male",29521
"M_1_2","92","C","educ|1|8","ct_9","O","375a","CDI",1820,"tr_6","75114",36,"MC","Female",34332
"M_4_1","93","C","educ|1|8","ct_5","O","373b","CDI",1905,"tr_5","75114",32,"HZ","Male",40520
"M_4_1","92","P","educ|1|8","ct_9","O","372a","CDI",1801,"tr_6","75114",35,"MA","Female",39075
"M_1_2","92","C","educ|1|8","ct_9","O","373b","CDI",3000,"tr_6","75115",35,"KZ","Female",56579
"M_3_1","92","C","educ|1|8","ct_9","O","372a","CDI",2113,"tr_4","75116",45,"JC","Male",40046
"M_4_1","75","C","educ|1|8","ct_9","O","375a","CDI",2296,"tr_3","75119",43,"MC","Male",55574
"M_4_2","75","C","educ|1|8","ct_9","O","376a","CDI",2545,"tr_5","92007",41,"KZ","Male",50674
"M_4_1","92","C","educ|1|8","ct_7","O","563c","CDI",970,"tr_1","92025",40,"TZ","Female",13309
"M_4_1","74","C","educ|1|8","ct_9","O","377a","CDI",170,"tr_3","92046",49,"IZ","Male",15646
"M_4_1","92","C","educ|1|9","ct_9","O","373d","CDI",2200,"tr_3","92012",49,"JC","Male",54948
"M_1_2","49","P","educ|2","ct_9","O","561c","CDI",209,"tr_3","49007",18,"IZ","Female",1554
"M_4_3","59","C","educ|2","ct_7","O","563c","CDI",791,"tr_1","59178",55,"TZ","Female",7622
"M_4_1","75","C","educ|2","ct_7","O","563c","CDI",1215,"tr_1","75111",50,"TZ","Female",16621
"M_3_2","78","C","educ|2","ct_7","O","563c","CDI",899,"tr_1","78382",62,"TZ","Female",12903
"M_4_2","92","C","educ|2","ct_9","O","684a","CDI",1821,"tr_6","93064",55,"NZ","Female",17672
"M_4_2","29","C","educ|3","ct_9","O","641a","CDI",2497,"tr_4","29019",52,"HZ","Male",21895
"M_4_1","33","D","educ|3","ct_7","O","563a","CDI",3000,"tr_1","33318",44,"QB","Female",10772
"M_2_0","37","C","educ|3","ct_9","O","562b","CDI",328,"tr_1","37266",22,"SZ","Female",11915
"M_4_1","38","D","educ|3","ct_7","O","563a","CDI",3000,"tr_1","38566",47,"QB","Female",8521
"M_1_2","59","C","educ|3","ct_7","O","563a","CDI",1966,"tr_1","59183",55,"TZ","Female",13843
"M_3_2","59","C","educ|3","ct_7","O","563c","CDI",325,"tr_1","59512",55,"TZ","Female",6413
"M_4_3","28","C","educ|3","ct_9","A","554a","APP",614,"tr_1","61218",16,"CA","Female",3108
"M_1_1","77","C","educ|3","ct_9","O","676c","TTP",381,"tr_2","77053",23,"NZ","Male",5842
"M_1_1","94","C","educ|3","ct_8","O","632k","CDI",1820,"tr_6","77344",48,"QA","Male",20576
"M_4_1","75","C","educ|3","ct_9","O","561f","CDI",2056,"tr_2","93014",50,"IZ","Male",16428
"M_3_2","92","C","educ|3","ct_7","O","563c","CDI",121,"tr_1","93073",48,"TZ","Female",1234
"M_4_1","93","C","educ|3","ct_7","O","563c","CDI",905,"tr_0","93073",48,"TZ","Female",8814
"M_4_1","94","P","educ|1|1","ct_8","O","563b","CDI",1381,"tr_4","94058",50,"QB","Female",10099
"M_4_3","06","P","educ|1|2","ct_8","O","564a","CDI",1176,"tr_1","06083",65,"NZ","Female",14046
"M_4_1","08","C","educ|1|2","ct_7","O","563a","CDI",66,"tr_1","08339",22,"TZ","Female",287
"M_4_1","33","P","educ|1|2","ct_9","O","554e","CDD",152,"tr_1","33199",18,"GZ","Female",1267
"M_4_1","33","C","educ|1|2","ct_9","A","683a","APP",1696,"tr_2","33322",18,"IZ","Male",10153
"M_4_2","38","K","educ|1|2","ct_9","O","676c","TTP",1012,"tr_1","38075",33,"NZ","Male",10132
"M_4_1","49","C","educ|1|2","ct_7","O","563a","CDI",58,"tr_1","49092",55,"TZ","Female",458
"M_3_2","59","P","educ|1|2","ct_9","O","563c","CDI",1113,"tr_4","59143",55,"SZ","Female",9955
"M_3_2","59","C","educ|1|2","ct_7","O","563c","CDI",372,"tr_1","59271",55,"TZ","Female",4412
"M_4_1","59","P","educ|1|2","ct_9","O","552a","CDI",1315,"tr_1","59386",53,"GZ","Female",15243
"M_4_1","59","P","educ|1|2","ct_7","O","563b","CDI",950,"tr_0","59526",52,"QB","Female",8180
"M_3_2","62","C","educ|1|2","ct_8","O","563b","CDI",1485,"tr_5","62644",45,"QB","Female",13030
"M_4_2","69","C","educ|1|2","ct_9","A","682a","APP",443,"tr_1","69069",15,"GZ","Male",1275
"M_4_1","69","C","educ|1|2","ct_6","O","561d","CDI",1705,"tr_4","69089",27,"IZ","Female",15009
"M_4_1","91","D","educ|1|2","ct_7","O","563a","CDI",3000,"tr_0","91589",36,"QB","Female",16981
"M_4_2","75","C","educ|1|2","ct_9","O","632g","CDD",957,"tr_1","92064",28,"FZ","Male",12969
"M_4_1","95","C","educ|1|2","ct_8","O","526c","CDI",45,"tr_6","95306",53,"QA","Female",353
"M_4_1","06","C","educ|1|3","ct_9","O","631a","CDI",1820,"tr_3","06088",29,"IZ","Male",16353
"M_4_2","06","C","educ|1|3","ct_7","O","563c","CDI",710,"tr_1","06157",56,"TZ","Male",8683
"M_1_2","13","F","educ|1|3","ct_7","O","563b","CDI",1274,"tr_1","13209",62,"QB","Female",16574
"M_4_1","13","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","13211",26,"QB","Female",14281
"M_4_1","18","C","educ|1|3","ct_7","O","563c","CDI",326,"tr_1","18033",46,"TZ","Female",2921
"M_4_1","28","F","educ|1|3","ct_7","O","563b","CDI",282,"tr_1","28359",37,"QB","Female",2957
"M_1_2","31","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","31165",54,"QB","Female",17902
"M_4_1","33","P","educ|1|3","ct_2","O","524c","AUT",664,"tr_5","33199",24,"OZ","Female",7628
"M_4_1","37","C","educ|1|3","ct_9","O","525d","CDD",1313,"tr_3","37104",27,"QB","Female",11759
"M_2_0","38","C","educ|1|3","ct_9","O","681a","CDI",2043,"tr_1","38185",53,"FZ","Male",16140
"M_4_3","42","F","educ|1|3","ct_7","O","563b","CDI",511,"tr_1","42073",63,"QB","Female",5785
"M_4_1","44","P","educ|1|3","ct_9","O","552a","TOA",517,"tr_5","44025",19,"GZ","Female",5133
"M_4_1","44","K","educ|1|3","ct_9","O","525d","CDD",945,"tr_6","44093",31,"QA","Male",12489
"M_4_1","45","C","educ|1|3","ct_7","O","563c","CDI",841,"tr_1","45309",47,"TZ","Female",12525
"M_4_3","49","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","49023",55,"QB","Female",12051
"M_4_1","49","C","educ|1|3","ct_7","O","563c","CDI",911,"tr_1","49267",51,"TZ","Female",9934
"M_3_2","54","K","educ|1|3","ct_9","O","525d","CDD",565,"tr_3","54395",26,"QA","Female",6161
"M_4_1","57","P","educ|1|3","ct_9","O","554e","CDI",869,"tr_1","57463",31,"GZ","Female",10342
"M_1_2","59","P","educ|1|3","ct_9","O","684a","CDI",51,"tr_2","59051",58,"FZ","Female",287
"M_4_1","59","C","educ|1|3","ct_7","O","563c","CDI",621,"tr_1","59212",61,"TZ","Female",4383
"M_4_3","59","C","educ|1|3","ct_7","O","563c","CDI",157,"tr_1","59392",48,"TZ","Female",1157
"M_4_1","59","C","educ|1|3","ct_7","O","563c","CDI",1342,"tr_1","59406",55,"TZ","Female",20659
"M_4_1","59","P","educ|1|3","ct_6","O","561d","CDI",642,"tr_1","59599",47,"IZ","Female",11411
